,latitude,longitude,nrides
283,42.2928282828,-71.0139393939,-18.8553398019
284,42.2928282828,-71.0118181818,-18.892644638
285,42.2928282828,-71.0096969697,-18.9287815523
286,42.2928282828,-71.0075757576,-18.9628681742
287,42.2928282828,-71.0054545455,-18.9976094812
288,42.2928282828,-71.0033333333,-19.0329556827
289,42.2928282828,-71.0012121212,-19.0696753002
290,42.2928282828,-70.9990909091,-19.1082746048
291,42.2928282828,-70.996969697,-19.1465764346
292,42.2928282828,-70.9948484848,-19.1845268981
293,42.2928282828,-70.9927272727,-19.2175021119
294,42.2928282828,-70.9906060606,-19.2481412652
295,42.2928282828,-70.9884848485,-19.2768048384
296,42.2928282828,-70.9863636364,-19.3047612848
297,42.2928282828,-70.9842424242,-19.3289595177
298,42.2928282828,-70.9821212121,-19.352743808
299,42.2928282828,-70.98,-19.375908497
300,42.2942424242,-71.19,-19.5237054936
301,42.2942424242,-71.1878787879,-19.5049248317
302,42.2942424242,-71.1857575758,-19.4879693787
303,42.2942424242,-71.1836363636,-19.4700538075
304,42.2942424242,-71.1815151515,-19.4488901399
305,42.2942424242,-71.1793939394,-19.4280899178
306,42.2942424242,-71.1772727273,-19.4072185853
307,42.2942424242,-71.1751515152,-19.3826739774
308,42.2942424242,-71.173030303,-19.3577282653
309,42.2942424242,-71.1709090909,-19.3323172962
310,42.2942424242,-71.1687878788,-19.3058371885
311,42.2942424242,-71.1666666667,-19.2784465229
312,42.2942424242,-71.1645454545,-19.2471754755
313,42.2942424242,-71.1624242424,-19.2149056471
314,42.2942424242,-71.1603030303,-19.181714574
315,42.2942424242,-71.1581818182,-19.1419578855
316,42.2942424242,-71.1560606061,-19.1009103536
317,42.2942424242,-71.1539393939,-19.0587203188
318,42.2942424242,-71.1518181818,-19.0178412848
319,42.2942424242,-71.1496969697,-18.978716539
320,42.2942424242,-71.1475757576,-18.9397271291
321,42.2942424242,-71.1454545455,-18.9008287387
322,42.2942424242,-71.1433333333,-18.8570581733
323,42.2942424242,-71.1412121212,-18.8124040598
324,42.2942424242,-71.1390909091,-18.7607286252
325,42.2942424242,-71.136969697,-18.7094950999
326,42.2942424242,-71.1348484848,-18.6592772815
327,42.2942424242,-71.1327272727,-18.6119664709
328,42.2942424242,-71.1306060606,-18.5689696979
329,42.2942424242,-71.1284848485,-18.5308295616
330,42.2942424242,-71.1263636364,-18.4976791087
331,42.2942424242,-71.1242424242,-18.4686834028
332,42.2942424242,-71.1221212121,-18.4448067164
333,42.2942424242,-71.12,-18.4271510378
334,42.2942424242,-71.1178787879,-18.4160810908
335,42.2942424242,-71.1157575758,-18.4119864745
336,42.2942424242,-71.1136363636,-18.4151577207
337,42.2942424242,-71.1115151515,-18.4256320056
338,42.2942424242,-71.1093939394,-18.4430646692
339,42.2942424242,-71.1072727273,-18.4620228253
340,42.2942424242,-71.1051515152,-18.4658397077
341,42.2942424242,-71.103030303,-18.4758324203
342,42.2942424242,-71.1009090909,-18.4913093381
343,42.2942424242,-71.0987878788,-18.5109942833
344,42.2942424242,-71.0966666667,-18.5350797931
345,42.2942424242,-71.0945454545,-18.5629319562
346,42.2942424242,-71.0924242424,-18.5941814957
347,42.2942424242,-71.0903030303,-18.6282694068
348,42.2942424242,-71.0881818182,-18.6643498676
349,42.2942424242,-71.0860606061,-18.7003698894
350,42.2942424242,-71.0839393939,-18.7376864867
351,42.2942424242,-71.0818181818,-18.7632957777
352,42.2942424242,-71.0796969697,-18.7713154751
353,42.2942424242,-71.0775757576,-18.7446077553
354,42.2942424242,-71.0754545455,-18.721890138
355,42.2942424242,-71.0733333333,-18.700373485
356,42.2942424242,-71.0712121212,-18.6844025581
357,42.2942424242,-71.0690909091,-18.6742418838
358,42.2942424242,-71.066969697,-18.6699665369
359,42.2942424242,-71.0648484848,-18.6714983564
360,42.2942424242,-71.0627272727,-18.6785806143
361,42.2942424242,-71.0606060606,-18.6909097231
362,42.2942424242,-71.0584848485,-18.7081207412
363,42.2942424242,-71.0563636364,-18.7052962897
364,42.2942424242,-71.0542424242,-18.6721306665
365,42.2942424242,-71.0521212121,-18.6416631993
366,42.2942424242,-71.05,-18.6139368953
367,42.2942424242,-71.0478787879,-18.5902121059
368,42.2942424242,-71.0457575758,-18.5707437341
369,42.2942424242,-71.0436363636,-18.5556699016
370,42.2942424242,-71.0415151515,-18.544723355
371,42.2942424242,-71.0393939394,-18.5380141643
372,42.2942424242,-71.0372727273,-18.5357035979
373,42.2942424242,-71.0351515152,-18.5379754105
374,42.2942424242,-71.033030303,-18.5450934587
375,42.2942424242,-71.0309090909,-18.5572037106
376,42.2942424242,-71.0287878788,-18.5743750277
377,42.2942424242,-71.0266666667,-18.5965580211
378,42.2942424242,-71.0245454545,-18.6237197331
379,42.2942424242,-71.0224242424,-18.6559871059
380,42.2942424242,-71.0203030303,-18.6926028371
381,42.2942424242,-71.0181818182,-18.732851804
382,42.2942424242,-71.0160606061,-18.7749648202
383,42.2942424242,-71.0139393939,-18.8197501415
384,42.2942424242,-71.0118181818,-18.8603323147
385,42.2942424242,-71.0096969697,-18.90018168
386,42.2942424242,-71.0075757576,-18.9373955678
387,42.2942424242,-71.0054545455,-18.972992301
388,42.2942424242,-71.0033333333,-19.0091580797
389,42.2942424242,-71.0012121212,-19.0458488874
390,42.2942424242,-70.9990909091,-19.084766874
391,42.2942424242,-70.996969697,-19.1247109085
392,42.2942424242,-70.9948484848,-19.1635935192
393,42.2942424242,-70.9927272727,-19.2015214301
394,42.2942424242,-70.9906060606,-19.2327792912
395,42.2942424242,-70.9884848485,-19.2631813833
396,42.2942424242,-70.9863636364,-19.2922940716
397,42.2942424242,-70.9842424242,-19.3183018534
398,42.2942424242,-70.9821212121,-19.3429912101
399,42.2942424242,-70.98,-19.3664878049
400,42.2956565657,-71.19,-19.5188278168
401,42.2956565657,-71.1878787879,-19.5001332246
402,42.2956565657,-71.1857575758,-19.4833427915
403,42.2956565657,-71.1836363636,-19.4641981894
404,42.2956565657,-71.1815151515,-19.4428998029
405,42.2956565657,-71.1793939394,-19.4221732977
406,42.2956565657,-71.1772727273,-19.4001247901
407,42.2956565657,-71.1751515152,-19.3754908861
408,42.2956565657,-71.173030303,-19.3502574972
409,42.2956565657,-71.1709090909,-19.3246170208
410,42.2956565657,-71.1687878788,-19.2978209378
411,42.2956565657,-71.1666666667,-19.268660681
412,42.2956565657,-71.1645454545,-19.2371648337
413,42.2956565657,-71.1624242424,-19.2036060374
414,42.2956565657,-71.1603030303,-19.1680926837
415,42.2956565657,-71.1581818182,-19.1260665244
416,42.2956565657,-71.1560606061,-19.0834299902
417,42.2956565657,-71.1539393939,-19.0403205371
418,42.2956565657,-71.1518181818,-18.9997127327
419,42.2956565657,-71.1496969697,-18.9596805512
420,42.2956565657,-71.1475757576,-18.9198014822
421,42.2956565657,-71.1454545455,-18.8775991547
422,42.2956565657,-71.1433333333,-18.8313491749
423,42.2956565657,-71.1412121212,-18.7804343976
424,42.2956565657,-71.1390909091,-18.7259359965
425,42.2956565657,-71.136969697,-18.6718944035
426,42.2956565657,-71.1348484848,-18.6193697785
427,42.2956565657,-71.1327272727,-18.5702287382
428,42.2956565657,-71.1306060606,-18.5250432311
429,42.2956565657,-71.1284848485,-18.4836447439
430,42.2956565657,-71.1263636364,-18.4448017357
431,42.2956565657,-71.1242424242,-18.4114426645
432,42.2956565657,-71.1221212121,-18.3840220851
433,42.2956565657,-71.12,-18.370233971
434,42.2956565657,-71.1178787879,-18.3628399503
435,42.2956565657,-71.1157575758,-18.3591298578
436,42.2956565657,-71.1136363636,-18.359694758
437,42.2956565657,-71.1115151515,-18.3647354864
438,42.2956565657,-71.1093939394,-18.375814811
439,42.2956565657,-71.1072727273,-18.3922395741
440,42.2956565657,-71.1051515152,-18.3968777863
441,42.2956565657,-71.103030303,-18.4082007805
442,42.2956565657,-71.1009090909,-18.4257832631
443,42.2956565657,-71.0987878788,-18.4490467112
444,42.2956565657,-71.0966666667,-18.4773071788
445,42.2956565657,-71.0945454545,-18.5074516075
446,42.2956565657,-71.0924242424,-18.5407624116
447,42.2956565657,-71.0903030303,-18.5768132941
448,42.2956565657,-71.0881818182,-18.6155531552
449,42.2956565657,-71.0860606061,-18.6561468114
450,42.2956565657,-71.0839393939,-18.6928517901
451,42.2956565657,-71.0818181818,-18.7179454956
452,42.2956565657,-71.0796969697,-18.7286747162
453,42.2956565657,-71.0775757576,-18.6973436109
454,42.2956565657,-71.0754545455,-18.6706912575
455,42.2956565657,-71.0733333333,-18.6491658065
456,42.2956565657,-71.0712121212,-18.633033112
457,42.2956565657,-71.0690909091,-18.6223698309
458,42.2956565657,-71.066969697,-18.6169830592
459,42.2956565657,-71.0648484848,-18.6172967841
460,42.2956565657,-71.0627272727,-18.6232948474
461,42.2956565657,-71.0606060606,-18.6346628682
462,42.2956565657,-71.0584848485,-18.6512518658
463,42.2956565657,-71.0563636364,-18.6605514868
464,42.2956565657,-71.0542424242,-18.6238151494
465,42.2956565657,-71.0521212121,-18.5898024308
466,42.2956565657,-71.05,-18.5597872055
467,42.2956565657,-71.0478787879,-18.5346020145
468,42.2956565657,-71.0457575758,-18.5137612092
469,42.2956565657,-71.0436363636,-18.4973122277
470,42.2956565657,-71.0415151515,-18.4848459812
471,42.2956565657,-71.0393939394,-18.4765578915
472,42.2956565657,-71.0372727273,-18.473583314
473,42.2956565657,-71.0351515152,-18.4761751165
474,42.2956565657,-71.033030303,-18.4845470239
475,42.2956565657,-71.0309090909,-18.4988361498
476,42.2956565657,-71.0287878788,-18.5188259829
477,42.2956565657,-71.0266666667,-18.5430358572
478,42.2956565657,-71.0245454545,-18.5722277033
479,42.2956565657,-71.0224242424,-18.6061111607
480,42.2956565657,-71.0203030303,-18.6445429729
481,42.2956565657,-71.0181818182,-18.687040531
482,42.2956565657,-71.0160606061,-18.732701482
483,42.2956565657,-71.0139393939,-18.7791828611
484,42.2956565657,-71.0118181818,-18.8277763259
485,42.2956565657,-71.0096969697,-18.8700184104
486,42.2956565657,-71.0075757576,-18.9121431513
487,42.2956565657,-71.0054545455,-18.9494195419
488,42.2956565657,-71.0033333333,-18.9864605549
489,42.2956565657,-71.0012121212,-19.0240151873
490,42.2956565657,-70.9990909091,-19.0624150064
491,42.2956565657,-70.996969697,-19.1032874075
492,42.2956565657,-70.9948484848,-19.143823523
493,42.2956565657,-70.9927272727,-19.1837177177
494,42.2956565657,-70.9906060606,-19.2182731556
495,42.2956565657,-70.9884848485,-19.2502992459
496,42.2956565657,-70.9863636364,-19.2799338546
497,42.2956565657,-70.9842424242,-19.3082622578
498,42.2956565657,-70.9821212121,-19.3333564252
499,42.2956565657,-70.98,-19.3576502602
500,42.2970707071,-71.19,-19.5142649418
501,42.2970707071,-71.1878787879,-19.4959280762
502,42.2970707071,-71.1857575758,-19.4790168212
503,42.2970707071,-71.1836363636,-19.4587220987
504,42.2970707071,-71.1815151515,-19.4373976077
505,42.2970707071,-71.1793939394,-19.4165638881
506,42.2970707071,-71.1772727273,-19.3934298397
507,42.2970707071,-71.1751515152,-19.3686538683
508,42.2970707071,-71.173030303,-19.3430935099
509,42.2970707071,-71.1709090909,-19.3169740891
510,42.2970707071,-71.1687878788,-19.2900604345
511,42.2970707071,-71.1666666667,-19.2592001595
512,42.2970707071,-71.1645454545,-19.2269419845
513,42.2970707071,-71.1624242424,-19.1926358268
514,42.2970707071,-71.1603030303,-19.1535440849
515,42.2970707071,-71.1581818182,-19.1108455105
516,42.2970707071,-71.1560606061,-19.066750007
517,42.2970707071,-71.1539393939,-19.0234784662
518,42.2970707071,-71.1518181818,-18.9824165517
519,42.2970707071,-71.1496969697,-18.9415074362
520,42.2970707071,-71.1475757576,-18.9007520343
521,42.2970707071,-71.1454545455,-18.8540394267
522,42.2970707071,-71.1433333333,-18.8056630838
523,42.2970707071,-71.1412121212,-18.7485497081
524,42.2970707071,-71.1390909091,-18.6919202226
525,42.2970707071,-71.136969697,-18.6352356544
526,42.2970707071,-71.1348484848,-18.5809305454
527,42.2970707071,-71.1327272727,-18.5297868896
528,42.2970707071,-71.1306060606,-18.4810375711
529,42.2970707071,-71.1284848485,-18.4338157642
530,42.2970707071,-71.1263636364,-18.391238246
531,42.2970707071,-71.1242424242,-18.3667745033
532,42.2970707071,-71.1221212121,-18.3506030649
533,42.2970707071,-71.12,-18.3373308526
534,42.2970707071,-71.1178787879,-18.3274636573
535,42.2970707071,-71.1157575758,-18.3219178198
536,42.2970707071,-71.1136363636,-18.3215845979
537,42.2970707071,-71.1115151515,-18.3268265633
538,42.2970707071,-71.1093939394,-18.3371722139
539,42.2970707071,-71.1072727273,-18.344192246
540,42.2970707071,-71.1051515152,-18.3475434408
541,42.2970707071,-71.103030303,-18.3540427819
542,42.2970707071,-71.1009090909,-18.3632716931
543,42.2970707071,-71.0987878788,-18.3851934982
544,42.2970707071,-71.0966666667,-18.4160804349
545,42.2970707071,-71.0945454545,-18.4512710822
546,42.2970707071,-71.0924242424,-18.4882763376
547,42.2970707071,-71.0903030303,-18.5267339534
548,42.2970707071,-71.0881818182,-18.5675776697
549,42.2970707071,-71.0860606061,-18.6109354556
550,42.2970707071,-71.0839393939,-18.6385631982
551,42.2970707071,-71.0818181818,-18.6668448375
552,42.2970707071,-71.0796969697,-18.676129823
553,42.2970707071,-71.0775757576,-18.6448627164
