GEO.id,zip,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US01235,01235,"ZIP 01235 (Hinsdale, MA)",00,Total for all sectors,2012,46,c,1373,7524
8610000US01236,01236,"ZIP 01236 (Housatonic, MA)",00,Total for all sectors,2012,36,406,3125,13182
8610000US01237,01237,"ZIP 01237 (Lanesboro, MA)",00,Total for all sectors,2012,148,2169,10347,38830
8610000US01238,01238,"ZIP 01238 (Lee, MA)",00,Total for all sectors,2012,294,3261,23786,99188
8610000US01240,01240,"ZIP 01240 (Lenox, MA)",00,Total for all sectors,2012,249,3027,21630,96003
8610000US01242,01242,"ZIP 01242 (Lenox Dale, MA)",00,Total for all sectors,2012,18,110,737,3133
8610000US01243,01243,"ZIP 01243 (Middlefield, MA)",00,Total for all sectors,2012,5,32,157,651
8610000US01244,01244,"ZIP 01244 (Mill River, MA)",00,Total for all sectors,2012,2,a,D,D
8610000US01245,01245,"ZIP 01245 (Monterey, MA)",00,Total for all sectors,2012,24,b,D,D
8610000US01247,01247,"ZIP 01247 (North Adams, MA)",00,Total for all sectors,2012,344,4402,36238,148591
8610000US01252,01252,"ZIP 01252 (North Egremont, MA)",00,Total for all sectors,2012,4,7,31,236
8610000US01253,01253,"ZIP 01253 (Otis, MA)",00,Total for all sectors,2012,29,115,704,2983
8610000US01254,01254,"ZIP 01254 (Richmond, MA)",00,Total for all sectors,2012,33,71,503,2487
8610000US01255,01255,"ZIP 01255 (Sandisfield, MA)",00,Total for all sectors,2012,22,c,934,3746
8610000US01256,01256,"ZIP 01256 (Savoy, MA)",00,Total for all sectors,2012,6,17,122,482
8610000US01257,01257,"ZIP 01257 (Sheffield, MA)",00,Total for all sectors,2012,114,929,9580,41832
8610000US01258,01258,"ZIP 01258 (South Egremont, MA)",00,Total for all sectors,2012,37,482,1844,6066
8610000US01259,01259,"ZIP 01259 (Southfield, MA)",00,Total for all sectors,2012,25,b,516,2759
8610000US01260,01260,"ZIP 01260 (South Lee, MA)",00,Total for all sectors,2012,15,485,8080,28514
8610000US01262,01262,"ZIP 01262 (Stockbridge, MA)",00,Total for all sectors,2012,79,1382,12076,51643
8610000US01264,01264,"ZIP 01264 (Tyringham, MA)",00,Total for all sectors,2012,1,a,D,D
8610000US01266,01266,"ZIP 01266 (West Stockbridge, MA)",00,Total for all sectors,2012,52,171,1102,5663
8610000US01267,01267,"ZIP 01267 (Williamstown, MA)",00,Total for all sectors,2012,218,3462,38784,159313
8610000US01270,01270,"ZIP 01270 (Windsor, MA)",00,Total for all sectors,2012,8,21,235,1081
8610000US01301,01301,"ZIP 01301 (Greenfield, MA)",00,Total for all sectors,2012,570,7748,61795,258288
8610000US01302,01302,"ZIP 01302 (Greenfield, MA)",00,Total for all sectors,2012,24,475,6488,23432
8610000US01330,01330,"ZIP 01330 (Ashfield, MA)",00,Total for all sectors,2012,34,153,1518,5016
8610000US01331,01331,"ZIP 01331 (Athol, MA)",00,Total for all sectors,2012,207,3174,27176,109366
8610000US01337,01337,"ZIP 01337 (Bernardston, MA)",00,Total for all sectors,2012,48,393,2547,11731
8610000US01338,01338,"ZIP 01338 (Buckland, MA)",00,Total for all sectors,2012,12,c,571,2337
8610000US01339,01339,"ZIP 01339 (Charlemont, MA)",00,Total for all sectors,2012,31,256,1202,4771
8610000US01340,01340,"ZIP 01340 (Colrain, MA)",00,Total for all sectors,2012,15,119,844,3646
8610000US01341,01341,"ZIP 01341 (Conway, MA)",00,Total for all sectors,2012,27,c,790,3755
8610000US01342,01342,"ZIP 01342 (Deerfield, MA)",00,Total for all sectors,2012,28,732,7439,30544
8610000US01343,01343,"ZIP 01343 (Drury, MA)",00,Total for all sectors,2012,1,a,D,D
8610000US01344,01344,"ZIP 01344 (Erving, MA)",00,Total for all sectors,2012,17,c,D,D
8610000US01346,01346,"ZIP 01346 (Heath, MA)",00,Total for all sectors,2012,3,a,46,192
8610000US01347,01347,"ZIP 01347 (Lake Pleasant, MA)",00,Total for all sectors,2012,1,a,D,D
8610000US01349,01349,"ZIP 01349 (Millers Falls, MA)",00,Total for all sectors,2012,8,19,96,366
8610000US01350,01350,"ZIP 01350 (Monroe Bridge, MA)",00,Total for all sectors,2012,3,b,D,D
8610000US01351,01351,"ZIP 01351 (Montague, MA)",00,Total for all sectors,2012,29,109,679,3142
8610000US01354,01354,"ZIP 01354 (Gill, MA)",00,Total for all sectors,2012,25,227,1278,5706
8610000US01355,01355,"ZIP 01355 (New Salem, MA)",00,Total for all sectors,2012,17,b,D,D
8610000US01360,01360,"ZIP 01360 (Northfield, MA)",00,Total for all sectors,2012,47,678,8097,29410
8610000US01364,01364,"ZIP 01364 (Orange, MA)",00,Total for all sectors,2012,128,1292,10035,42726
8610000US01366,01366,"ZIP 01366 (Petersham, MA)",00,Total for all sectors,2012,27,74,376,1748
8610000US01367,01367,"ZIP 01367 (Rowe, MA)",00,Total for all sectors,2012,8,128,1617,6099
8610000US01368,01368,"ZIP 01368 (Royalston, MA)",00,Total for all sectors,2012,8,b,166,639
