Unnamed: 0,latitude,longitude,nrides
234,42.2928282828,-71.1178787879,-9.79839857092
235,42.2928282828,-71.1157575758,-8.60301863045
236,42.2928282828,-71.1136363636,-7.71746426108
237,42.2928282828,-71.1115151515,-7.21927506091
238,42.2928282828,-71.1093939394,-7.03000536062
239,42.2928282828,-71.1072727273,-7.01937395288
240,42.2928282828,-71.1051515152,-6.96477740702
241,42.2928282828,-71.103030303,-6.86225107909
242,42.2928282828,-71.1009090909,-6.76842511055
243,42.2928282828,-71.0987878788,-6.73043689227
244,42.2928282828,-71.0966666667,-6.80557912366
245,42.2928282828,-71.0945454545,-7.05244674895
246,42.2928282828,-71.0924242424,-7.5096112877
247,42.2928282828,-71.0903030303,-8.20913240443
248,42.2928282828,-71.0881818182,-9.18449382922
249,42.2928282828,-71.0860606061,-10.4222169295
250,42.2928282828,-71.0839393939,-11.8852350721
251,42.2928282828,-71.0818181818,-13.5058656968
252,42.2928282828,-71.0796969697,-15.150149032
253,42.2928282828,-71.0775757576,-16.6332316274
254,42.2928282828,-71.0754545455,-17.7497962952
255,42.2928282828,-71.0733333333,-18.2962351778
256,42.2928282828,-71.0712121212,-18.1623829996
257,42.2928282828,-71.0690909091,-17.4835877036
258,42.2928282828,-71.066969697,-16.6060553349
259,42.2928282828,-71.0648484848,-15.9468478866
260,42.2928282828,-71.0627272727,-15.7506198487
261,42.2928282828,-71.0606060606,-15.955983675
262,42.2928282828,-71.0584848485,-16.2828989469
263,42.2928282828,-71.0563636364,-16.4316999788
264,42.2928282828,-71.0542424242,-16.2504420537
265,42.2928282828,-71.0521212121,-15.756805339
266,42.2928282828,-71.05,-15.0534866252
267,42.2928282828,-71.0478787879,-14.2597066788
268,42.2928282828,-71.0457575758,-13.4761044852
269,42.2928282828,-71.0436363636,-12.7944610766
270,42.2928282828,-71.0415151515,-12.3105847996
271,42.2928282828,-71.0393939394,-12.0670209739
272,42.2928282828,-71.0372727273,-12.0849104912
273,42.2928282828,-71.0351515152,-12.3645084139
274,42.2928282828,-71.033030303,-12.8657411014
275,42.2928282828,-71.0309090909,-13.5058132701
276,42.2928282828,-71.0287878788,-14.2081633287
277,42.2928282828,-71.0266666667,-14.9259844633
278,42.2928282828,-71.0245454545,-15.5810803078
279,42.2928282828,-71.0224242424,-16.1240315034
280,42.2928282828,-71.0203030303,-16.5163294155
281,42.2928282828,-71.0181818182,-16.7563059455
282,42.2928282828,-71.0160606061,-16.8788523665
283,42.2928282828,-71.0139393939,-16.9066271525
