,stationid,duration,nrides,ndays,lat,lng,originpop,originwork,originsubway,destpop,destwork,destsubway,ridesperday
110,114.0,600.0,15239.0,182.0,42.365942,-71.060515,24234.0812058,105658.504291,13249.3664149,290526.900177,584993.621392,131727.948668,83.7307692308
111,115.0,780.0,3249.0,176.0,42.378338,-71.048927,8388.6851133,8540.54141959,60.5187020995,140945.523332,278045.848467,76776.1430749,18.4602272727
112,116.0,540.0,1060.0,43.0,42.356052,-71.069849,33988.0334195,132431.205018,23375.1030614,337817.437147,675593.851271,131526.388629,24.6511627907
113,117.0,480.0,655.0,42.0,42.358508,-71.052984,19434.64075,150034.211388,30983.153587,299133.835634,582897.659782,121441.324259,15.5952380952
114,118.0,870.0,150.0,39.0,42.377022,-71.056605,14541.9944159,16349.0160702,54.6533335858,173852.762659,341673.704162,91302.0352497,3.84615384615
115,119.0,570.0,299.0,22.0,42.350413,-71.07655,39018.2790166,109093.009591,31310.0116454,310103.375452,617906.422528,113208.110734,13.5909090909
116,120.0,1110.0,186.0,42.0,42.309467,-71.115645,32792.8914869,12754.6114899,1386.57877071,59553.0837572,81169.7137836,31575.3478839,4.42857142857
117,121.0,870.0,213.0,43.0,42.31309,-71.114175,31763.7135846,12321.2807231,1149.68461164,63370.4527585,94779.1726833,32761.4115518,4.95348837209
118,122.0,930.0,320.0,43.0,42.320998,-71.110833,13792.2984319,5104.88932334,1447.93711144,76699.1035909,140816.922465,34866.7355713,7.44186046512
119,123.0,900.0,99.0,38.0,42.315692,-71.098634,18829.5386555,5746.87205837,2693.26627611,81875.9073583,166397.089105,41091.8705636,2.60526315789
120,124.0,780.0,201.0,32.0,42.310579,-71.107341,32970.8715118,12602.2296639,3895.7470536,66461.6968507,106701.028829,36056.2886369,6.28125
121,125.0,735.0,115.0,30.0,42.322913,-71.100164,17844.3248718,5801.36549426,7919.38328705,96294.8567683,216776.682117,44115.5697199,3.83333333333
122,126.0,900.0,2477.0,186.0,42.339335,-71.13493,15871.2508403,4773.15621202,3147.34379951,91895.4258028,66670.6002559,10992.3827412,13.3172043011
123,127.0,780.0,2434.0,167.0,42.346563,-71.128374,34583.0462329,12076.0585213,4641.00036386,114301.875322,110091.127839,22018.3123499,14.5748502994
124,128.0,570.0,14095.0,201.0,42.362457,-71.08497,21473.942777,48901.0072092,15126.9121537,259877.424024,515094.858255,112922.421226,70.1243781095
125,129.0,660.0,2674.0,197.0,42.369832,-71.118201,24118.8395497,26572.2998949,12059.7526723,128983.072434,211688.073312,58752.6816846,13.5736040609
126,130.0,510.0,4178.0,172.0,42.376369,-71.114025,25325.1291865,25830.9291582,10818.2376375,121602.019711,197478.287942,56792.9867193,24.2906976744
127,131.0,780.0,5201.0,207.0,42.356954,-71.113687,28997.7902699,31682.0677633,1124.48124707,157232.60089,255751.885689,63854.5641117,25.1256038647
128,132.0,600.0,3887.0,189.0,42.377945,-71.116865,27795.3614261,30422.3780114,11455.713154,113031.306862,175776.514775,50880.1084687,20.5661375661
129,133.0,480.0,3533.0,208.0,42.380287,-71.125107,39885.8651391,47840.7219306,2711.68569136,93603.5785651,131615.290864,38251.7253545,16.9855769231
130,134.0,210.0,1398.0,108.0,42.397828,-71.130516,30913.4234702,11135.670082,3389.06565942,54723.4141371,47072.4397526,18088.7678488,12.9444444444
131,135.0,480.0,3261.0,109.0,42.370803,-71.104412,34646.7410826,37311.6215665,4970.57952523,155285.584644,284250.546277,77854.3222868,29.9174311927
132,136.0,600.0,1696.0,81.0,42.366095,-71.086388,23233.2230934,39735.8130215,9881.6889775,234407.172467,459557.26542,106283.825024,20.9382716049
133,137.0,600.0,4279.0,120.0,42.387995,-71.119084,29129.9914732,21178.4983875,9710.04110766,85720.9485574,105342.668913,32805.5687529,35.6583333333
134,138.0,720.0,2608.0,206.0,42.385582,-71.113341,23335.250813,16064.3751055,3293.62296538,98350.5635313,131486.937372,39505.6369222,12.6601941748
135,139.0,690.0,5377.0,212.0,42.396969,-71.123024,37528.0629425,12476.1010169,12616.027718,62994.4408317,57525.3935915,21152.153032,25.3632075472
136,140.0,600.0,1008.0,197.0,42.400146,-71.112708,21953.9802224,5297.79883101,1111.55157825,63489.6259785,53540.4555088,19597.8079055,5.11675126904
137,141.0,720.0,1216.0,201.0,42.400877,-71.116772,27998.2017028,6992.88775268,2983.69656587,60381.7425114,48863.1448318,18986.3420339,6.04975124378
138,142.0,330.0,883.0,101.0,42.40449,-71.123413,25661.8411682,6383.86079766,827.180710499,51374.9239657,35906.5430534,16103.5303226,8.74257425743
139,143.0,600.0,757.0,100.0,42.39082,-71.10942,21537.7928111,7810.00463194,1087.83889456,87524.5087891,101341.192415,31036.1541337,7.57
140,144.0,180.0,1319.0,100.0,42.402763,-71.126908,27126.6838503,7376.73456654,1437.39070999,51334.6152407,37779.1178633,16282.3069915,13.19
141,145.0,795.0,142.0,34.0,42.394002,-71.120406,34518.9074301,13744.6001333,12872.1638454,71060.1489997,72347.9948135,24689.4441393,4.17647058824
