,Unnamed: 0,GEO.id,zip,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN,city,state,latitude,longitude,timezone,dst
118,118,8610000US02176,2176,"ZIP 02176 (Melrose, MA)",0,Total for all sectors,2012,484,5342.0,51121,218831,Melrose,MA,42.459045,-71.06233,-5,1
119,119,8610000US02180,2180,"ZIP 02180 (Stoneham, MA)",0,Total for all sectors,2012,607,7090.0,65478,281318,Stoneham,MA,42.480145,-71.09835,-5,1
120,120,8610000US02184,2184,"ZIP 02184 (Braintree, MA)",0,Total for all sectors,2012,1479,28449.0,346815,1385806,Braintree,MA,42.209555,-70.99968,-5,1
121,121,8610000US02185,2185,"ZIP 02185 (Braintree, MA)",0,Total for all sectors,2012,10,,D,D,Braintree,MA,42.180048,-71.08923,-5,1
122,122,8610000US02186,2186,"ZIP 02186 (Milton, MA)",0,Total for all sectors,2012,410,4517.0,38065,167396,Milton,MA,42.253074,-71.07496,-5,1
123,123,8610000US02187,2187,"ZIP 02187 (Milton Village, MA)",0,Total for all sectors,2012,8,32.0,365,1519,Milton Village,MA,42.180048,-71.08923,-5,1
124,124,8610000US02188,2188,"ZIP 02188 (Weymouth, MA)",0,Total for all sectors,2012,299,3343.0,24696,104948,Weymouth,MA,42.212866,-70.95872,-5,1
125,125,8610000US02189,2189,"ZIP 02189 (East Weymouth, MA)",0,Total for all sectors,2012,405,5488.0,77046,321506,Weymouth,MA,42.2112,-70.93111,-5,1
126,126,8610000US02190,2190,"ZIP 02190 (South Weymouth, MA)",0,Total for all sectors,2012,364,7131.0,87797,382358,Weymouth,MA,42.1711,-70.94597,-5,1
127,127,8610000US02191,2191,"ZIP 02191 (North Weymouth, MA)",0,Total for all sectors,2012,123,1003.0,6974,29557,Weymouth,MA,42.242749,-70.94434,-5,1
128,128,8610000US02196,2196,"ZIP 02196 (Boston, MA)",0,Total for all sectors,2012,2,,D,D,Boston,MA,42.338947,-70.919635,-5,1
