latitude,longitude,nrides
42.2928282828,-71.1412121212,-9.9659491719
42.2928282828,-71.1390909091,-8.61522085587
42.2928282828,-71.136969697,-7.29361101823
42.2928282828,-71.1348484848,-6.06813546979
42.2928282828,-71.1327272727,-4.99175436702
42.2928282828,-71.1306060606,-4.09545019329
42.2928282828,-71.1284848485,-3.3857942193
42.2928282828,-71.1263636364,-2.84811288024
42.2928282828,-71.1242424242,-2.45366473938
42.2928282828,-71.1221212121,-2.1685635141
42.2928282828,-71.12,-1.96243622309
42.2928282828,-71.1178787879,-1.8149891667
42.2928282828,-71.1157575758,-1.71842391224
42.2928282828,-71.1136363636,-1.67445746258
42.2928282828,-71.1115151515,-1.68771115523
42.2928282828,-71.1093939394,-1.76011459551
42.2928282828,-71.1072727273,-1.88824199629
42.2928282828,-71.1051515152,-1.99196207956
42.2928282828,-71.103030303,-2.14213953241
42.2928282828,-71.1009090909,-2.3327259354
42.2928282828,-71.0987878788,-2.55203394918
42.2928282828,-71.0966666667,-2.77950110637
42.2928282828,-71.0945454545,-2.98439853001
42.2928282828,-71.0924242424,-3.12682999074
42.2928282828,-71.0903030303,-3.16152171023
42.2928282828,-71.0881818182,-3.0449567227
42.2928282828,-71.0860606061,-2.74563339451
42.2928282828,-71.0839393939,-2.25567828242
42.2928282828,-71.0818181818,-1.60032150158
42.2928282828,-71.0796969697,-0.828327153138
42.2928282828,-71.0775757576,-0.0630151280934
42.2928282828,-71.0754545455,0.556755714337
42.2928282828,-71.0733333333,0.974569289387
42.2928282828,-71.0712121212,1.1602914251
42.2928282828,-71.0690909091,1.10564925993
42.2928282828,-71.066969697,0.817515028589
42.2928282828,-71.0648484848,0.316602914984
42.2928282828,-71.0627272727,-0.360660086312
42.2928282828,-71.0606060606,-1.16722506433
42.2928282828,-71.0584848485,-2.0607296642
42.2928282828,-71.0563636364,-2.92460964209
42.2928282828,-71.0542424242,-3.7139869761
42.2928282828,-71.0521212121,-4.46634416592
42.2928282828,-71.05,-5.18314332285
42.2928282828,-71.0478787879,-5.85728232779
42.2928282828,-71.0457575758,-6.47498194936
42.2928282828,-71.0436363636,-7.0223998701
42.2928282828,-71.0415151515,-7.49198553608
42.2928282828,-71.0393939394,-7.88586176487
42.2928282828,-71.0372727273,-8.21594056151
42.2928282828,-71.0351515152,-8.50189293828
42.2928282828,-71.033030303,-8.76836520965
42.2928282828,-71.0309090909,-9.04234978188
42.2928282828,-71.0287878788,-9.3509042514
42.2928282828,-71.0266666667,-9.7189121766
42.2928282828,-71.0245454545,-10.1665238511
42.2928282828,-71.0224242424,-10.7062815311
42.2928282828,-71.0203030303,-11.3404759579
42.2928282828,-71.0181818182,-12.0596514242
42.2928282828,-71.0160606061,-12.843102002
42.2928282828,-71.0139393939,-13.6616458188
42.2928282828,-71.0118181818,-14.4821680628
42.2928282828,-71.0096969697,-15.2727759004
42.2928282828,-71.0075757576,-16.0072230693
42.2928282828,-71.0054545455,-16.6676019379
42.2928282828,-71.0033333333,-17.2449658466
42.2928282828,-71.0012121212,-17.7382100936
42.2928282828,-70.9990909091,-18.1519434665
42.2928282828,-70.996969697,-18.4941372185
42.2928282828,-70.9948484848,-18.7741283893
42.2928282828,-70.9927272727,-19.0012433911
