,latitude,longitude,nrides
295,42.2928282828,-70.9884848485,-19.7788119344
296,42.2928282828,-70.9863636364,-19.788776421
297,42.2928282828,-70.9842424242,-19.7955575127
298,42.2928282828,-70.9821212121,-19.8002434677
299,42.2928282828,-70.98,-19.803519621
300,42.2942424242,-71.19,-19.7892674389
301,42.2942424242,-71.1878787879,-19.7794808865
302,42.2942424242,-71.1857575758,-19.7629393669
303,42.2942424242,-71.1836363636,-19.736475511
304,42.2942424242,-71.1815151515,-19.696113735
305,42.2942424242,-71.1793939394,-19.6373860906
306,42.2942424242,-71.1772727273,-19.5559312276
307,42.2942424242,-71.1751515152,-19.4483475147
308,42.2942424242,-71.173030303,-19.3131411549
309,42.2942424242,-71.1709090909,-19.1514768784
310,42.2942424242,-71.1687878788,-18.9673648844
311,42.2942424242,-71.1666666667,-18.7669650558
312,42.2942424242,-71.1645454545,-18.5568844047
313,42.2942424242,-71.1624242424,-18.341650153
314,42.2942424242,-71.1603030303,-18.1208624573
315,42.2942424242,-71.1581818182,-17.886748171
316,42.2942424242,-71.1560606061,-17.6228634712
317,42.2942424242,-71.1539393939,-17.3045155622
318,42.2942424242,-71.1518181818,-16.9011511059
319,42.2942424242,-71.1496969697,-16.380579807
320,42.2942424242,-71.1475757576,-15.7145311192
321,42.2942424242,-71.1454545455,-14.8847048966
322,42.2942424242,-71.1433333333,-13.8881902762
323,42.2942424242,-71.1412121212,-12.7409578713
324,42.2942424242,-71.1390909091,-11.4782148748
325,42.2942424242,-71.136969697,-10.1508958068
326,42.2942424242,-71.1348484848,-8.81846883451
327,42.2942424242,-71.1327272727,-7.53935879611
328,42.2942424242,-71.1306060606,-6.36117770842
329,42.2942424242,-71.1284848485,-5.31313430723
330,42.2942424242,-71.1263636364,-4.40239172897
331,42.2942424242,-71.1242424242,-3.6154657348
332,42.2942424242,-71.1221212121,-2.9258422247
333,42.2942424242,-71.12,-2.30859305947
334,42.2942424242,-71.1178787879,-1.75819269442
335,42.2942424242,-71.1157575758,-1.29761240513
336,42.2942424242,-71.1136363636,-0.966527170519
337,42.2942424242,-71.1115151515,-0.793404475636
338,42.2942424242,-71.1093939394,-0.775094792585
339,42.2942424242,-71.1072727273,-0.881473145819
340,42.2942424242,-71.1051515152,-1.07586710815
341,42.2942424242,-71.103030303,-1.32872541583
342,42.2942424242,-71.1009090909,-1.61569113177
343,42.2942424242,-71.0987878788,-1.90897141902
344,42.2942424242,-71.0966666667,-2.17268659858
345,42.2942424242,-71.0945454545,-2.36465615839
346,42.2942424242,-71.0924242424,-2.44188017625
347,42.2942424242,-71.0903030303,-2.36727941008
348,42.2942424242,-71.0881818182,-2.1168474942
349,42.2942424242,-71.0860606061,-1.68664228933
350,42.2942424242,-71.0839393939,-1.09825057029
351,42.2942424242,-71.0818181818,-0.400539145155
352,42.2942424242,-71.0796969697,0.334551150019
353,42.2942424242,-71.0775757576,1.02311596399
354,42.2942424242,-71.0754545455,1.58527777942
355,42.2942424242,-71.0733333333,1.96029404804
356,42.2942424242,-71.0712121212,2.11380005419
357,42.2942424242,-71.0690909091,2.0349588649
358,42.2942424242,-71.066969697,1.72928649016
359,42.2942424242,-71.0648484848,1.21463480137
360,42.2942424242,-71.0627272727,0.519888999363
361,42.2942424242,-71.0606060606,-0.320440539895
362,42.2942424242,-71.0584848485,-1.27736523316
363,42.2942424242,-71.0563636364,-2.33666704946
364,42.2942424242,-71.0542424242,-3.49800938412
365,42.2942424242,-71.0521212121,-4.76350249306
366,42.2942424242,-71.05,-6.12277085917
367,42.2942424242,-71.0478787879,-7.54333182713
368,42.2942424242,-71.0457575758,-8.97130887377
369,42.2942424242,-71.0436363636,-10.3414400288
370,42.2942424242,-71.0415151515,-11.5911641082
371,42.2942424242,-71.0393939394,-12.6731952456
372,42.2942424242,-71.0372727273,-13.5631880821
373,42.2942424242,-71.0351515152,-14.2616629033
374,42.2942424242,-71.033030303,-14.7910805214
375,42.2942424242,-71.0309090909,-15.1896697219
376,42.2942424242,-71.0287878788,-15.503638805
377,42.2942424242,-71.0266666667,-15.779157789
378,42.2942424242,-71.0245454545,-16.0552614203
379,42.2942424242,-71.0224242424,-16.3586501249
380,42.2942424242,-71.0203030303,-16.7011357164
381,42.2942424242,-71.0181818182,-17.080057479
382,42.2942424242,-71.0160606061,-17.4813856327
383,42.2942424242,-71.0139393939,-17.8846057256
384,42.2942424242,-71.0118181818,-18.2680842916
385,42.2942424242,-71.0096969697,-18.6136219495
386,42.2942424242,-71.0075757576,-18.9092979849
387,42.2942424242,-71.0054545455,-19.1503249396
388,42.2942424242,-71.0033333333,-19.338217226
389,42.2942424242,-71.0012121212,-19.478939669
390,42.2942424242,-70.9990909091,-19.5807716984
391,42.2942424242,-70.996969697,-19.6524581651
392,42.2942424242,-70.9948484848,-19.7019446599
393,42.2942424242,-70.9927272727,-19.7357376658
394,42.2942424242,-70.9906060606,-19.7587622484
395,42.2942424242,-70.9884848485,-19.7745272178
396,42.2942424242,-70.9863636364,-19.7854234422
397,42.2942424242,-70.9842424242,-19.7930347681
398,42.2942424242,-70.9821212121,-19.7983990004
399,42.2942424242,-70.98,-19.8022000614
400,42.2956565657,-71.19,-19.7836905555
401,42.2956565657,-71.1878787879,-19.7761019259
402,42.2956565657,-71.1857575758,-19.7631779894
403,42.2956565657,-71.1836363636,-19.7425433665
404,42.2956565657,-71.1815151515,-19.711198232
405,42.2956565657,-71.1793939394,-19.665715728
406,42.2956565657,-71.1772727273,-19.6026090486
407,42.2956565657,-71.1751515152,-19.5188512447
408,42.2956565657,-71.173030303,-19.4124484273
409,42.2956565657,-71.1709090909,-19.2828811507
410,42.2956565657,-71.1687878788,-19.1311794581
411,42.2956565657,-71.1666666667,-18.9594254816
412,42.2956565657,-71.1645454545,-18.7696023916
413,42.2956565657,-71.1624242424,-18.5619082445
414,42.2956565657,-71.1603030303,-18.3328664515
415,42.2956565657,-71.1581818182,-18.0737137606
416,42.2956565657,-71.1560606061,-17.7695743058
417,42.2956565657,-71.1539393939,-17.399822998
418,42.2956565657,-71.1518181818,-16.9398367047
419,42.2956565657,-71.1496969697,-16.3640777483
420,42.2956565657,-71.1475757576,-15.6501873384
421,42.2956565657,-71.1454545455,-14.7835011511
422,42.2956565657,-71.1433333333,-13.7611556198
423,42.2956565657,-71.1412121212,-12.5947967302
424,42.2956565657,-71.1390909091,-11.3109513758
425,42.2956565657,-71.136969697,-9.94849177891
426,42.2956565657,-71.1348484848,-8.55332833291
427,42.2956565657,-71.1327272727,-7.17131720122
428,42.2956565657,-71.1306060606,-5.84097449663
429,42.2956565657,-71.1284848485,-4.58756028016
430,42.2956565657,-71.1263636364,-3.41957737435
431,42.2956565657,-71.1242424242,-2.32888781937
432,42.2956565657,-71.1221212121,-1.29749441005
433,42.2956565657,-71.12,-0.314664231734
434,42.2956565657,-71.1178787879,0.599646191799
435,42.2956565657,-71.1157575758,1.38417222749
436,42.2956565657,-71.1136363636,1.95926881115
437,42.2956565657,-71.1115151515,2.27512285963
438,42.2956565657,-71.1093939394,2.34417901216
439,42.2956565657,-71.1072727273,2.22790794121
440,42.2956565657,-71.1051515152,1.99581889252
441,42.2956565657,-71.103030303,1.69782095923
442,42.2956565657,-71.1009090909,1.36589798893
443,42.2956565657,-71.0987878788,1.02899087942
444,42.2956565657,-71.0966666667,0.721806159272
445,42.2956565657,-71.0945454545,0.483274528306
446,42.2956565657,-71.0924242424,0.349977026124
447,42.2956565657,-71.0903030303,0.349344020699
448,42.2956565657,-71.0881818182,0.494182618018
449,42.2956565657,-71.0860606061,0.778740091323
450,42.2956565657,-71.0839393939,1.17682867297
451,42.2956565657,-71.0818181818,1.64310426489
452,42.2956565657,-71.0796969697,2.11859317803
453,42.2956565657,-71.0775757576,2.5406175866
454,42.2956565657,-71.0754545455,2.85522312662
455,42.2956565657,-71.0733333333,3.0277028172
456,42.2956565657,-71.0712121212,3.04602179506
457,42.2956565657,-71.0690909091,2.91515923419
458,42.2956565657,-71.066969697,2.64612551546
459,42.2956565657,-71.0648484848,2.24631831382
460,42.2956565657,-71.0627272727,1.71544583975
461,42.2956565657,-71.0606060606,1.04698605652
462,42.2956565657,-71.0584848485,0.232385104174
463,42.2956565657,-71.0563636364,-0.735470371211
