,stationid,terminal,station,municipal,lat,lng,status,popdensity,empdensity
130,134,M32025,Mass Ave / Linear Park,Cambridge,42.397828,-71.130516,Existing,11434.0756139,8949.7610792943742
131,135,M32026,359 Broadway - Broadway at Fayette Street,Cambridge,42.370803,-71.104412,Existing,20072.1072375,22248.552880182862
132,136,M32027,Biogen Idec - Binney St / Sixth St,Cambridge,42.366095,-71.086388,Existing,21700.1121,25038.389315247536
133,137,M32029,Porter Square Station,Cambridge,42.387995,-71.119084,Existing,13493.0170329,10090.517648686888
134,138,S32005,Wilson Square,Somerville,42.385582,-71.113341,Existing,14310.5411248,12361.077657594928
135,139,S32006,Davis Square,Somerville,42.396969,-71.123024,Existing,11473.532545,9286.7058060765266
136,140,S32007,Ball Square,Somerville,42.400146,-71.112708,Existing,10594.8541554,8945.9906416456215
137,141,S32008,Powder House Circle,Somerville,42.400877,-71.116772,Existing,10549.8365486,8632.4770674402826
138,142,S32009,Packard Ave / Powderhouse Blvd,Somerville,42.40449,-71.123413,Existing,10148.0732016,7954.0191135234199
139,143,S32010,Somerville Hospital at Highland Ave / Crocker St,Somerville,42.39082,-71.10942,Existing,12714.5775234,12058.318848568946
140,144,S32011,Teele Square at 239 Holland St,Somerville,42.402763,-71.126908,Existing,10461.2425811,8189.3295472350437
141,145,S32012,Summer St at Cutter St,Somerville,42.394002,-71.120406,Existing,12054.301916,9786.8117846250534
